URL,SongName,Artist,Lyricist,Composer,Lyric,Sales_Date,CD_Number
https://www.uta-net.com/song/196933/,愛と云わないラヴレター,中島みゆき,中島みゆき,中島みゆき,愛という言葉を一度も使わずにあの人だけわかる文(ふみ)を書く誰か覗(のぞ)いて見ようとしても　季節伺(うかが)いと読めるだけあの人だけ読みとれる言葉散りばめて心当たりにそっと触れる言葉散りばめて手を触れて　愛と云わずに互いの心に手を触れて白日(はくじつ)のもとに文(ふみ)を書く愛という言葉に愛は収まらないさりとて伝えずには伝わらない喉元に答迫るような言葉は　あえて使わない読みたい文字　他人は探して読み進む裸な文字を探り当てるために読み進む嘘じゃない　愛と云わずに慕わしさに衣(きぬ)を着せかけて白日(はくじつ)のもとに文(ふみ)を書くあの人だけ読みとれる言葉散りばめて心当たりにそっと触れる言葉散りばめて手を触れて　愛と云わずに互いの心に手を触れて白日(はくじつ)のもとに文(ふみ)を書く,：2015/11/1,：YCCW-102
https://www.uta-net.com/song/54742/,愛よりも,中島みゆき,中島みゆき,中島みゆき,人よ信じるな　けして信じるな見えないものを人よ欲しがるな　けして欲しがるな見果てぬものを形あるものさえも　あやういのに愛よりも夢よりも　人恋しさに誘われて愛さえも夢さえも　粉々になるよ嘘をつきなさい　ものを盗りなさい悪人になり傷をつけなさい　春を売りなさい悪人になり救いなど待つよりも　罪は軽い愛よりも夢よりも　人恋しさに誘われて愛さえも夢さえも　粉々になるよ星を追いかけて　月を追いかけてどこまでも行け黄金を追いかけて　過去を追いかけてどこまでも行け裏切らぬものだけを　慕って行け愛よりも夢よりも　人恋しさに誘われて愛さえも夢さえも　粉々になるよ愛よりも夢よりも　人恋しさに誘われて愛さえも夢さえも　粉々になるよ,,
https://www.uta-net.com/song/55058/,I love him,中島みゆき,中島みゆき,中島みゆき,夢見続けた願いはいつも　愛されること愛してもらうことそれが人生の幸せだって　いつも信じてた信じて待った　待って夢見た私にだって傷ついた日はあったと思う　けれどもそれは欲しがるものが手に入らなくて裏切られたような気がして泣いた子供の夢ねそれならば私は何も失わずに生きてゆけたでも何か忘れたことがあるでも誰も愛したことがないそれで生きたことになるの?それで生きたことになるの?長い夢のあと　本当の願いが胸の中　目を醒ますI love him　I love him　I love him　I love himI love him　I love him　返される愛は無くてもたとえ黄金の国を手に入れても　愛されることがなければつらいそれは確かにまちがいじゃない愛されたくて待ちわびもする闘いもする愛そうなんて思わなければ失うものは何ひとつない与えられる愛を待つだけならばもらいそこねても悪くてもゼロ　マイナスはないそれならば私は何も失わずに生きてゆけたでも何か忘れたことがあるでも誰も愛したことがないそれで生きたことになるの?それで生きたことになるの?長い夢のあと　本当の願いが胸の中　目を醒ますI love him　I love him　I love him　I love himI love him　I love him　返される愛は無くてもI love him　I love him　I love him　I love himI love him　I love him　返される愛は無くても,：2001/06/2,：YCCW-26ヤ
https://www.uta-net.com/song/57280/,"I Love You, 答えてくれ",中島みゆき,中島みゆき,中島みゆき,"I Love You, 答えてくれ　I Love You, 答えてくれI Love You, 答えてくれ　I Love You何か返してもらうため　君に愛を贈るわけじゃないあとで返してもらうため　君に時を贈るわけじゃない君はひどい目に遭いすぎて　疑い深くなってしまった身を守るのはもっともだけど　世界全部毒だなんて悲しいよ愛さずにいられない馬鹿もいる気にしないで受けとればいいんだよ愛さずにいられない馬鹿もいる受けとったと答えてほしいだけさI Love You, 答えてくれ　I Love You, 答えてくれI Love You, 答えてくれ　I Love Youプラスマイナス数えながら　君をみつめるわけじゃないいつか実りをもらうため　君を大事にするわけじゃない惚れたほうが損になるなんて　取り引きや投資じゃあるまいし惚れて嬉しい　単に嬉しい　同じ時代に生まれて嬉しい愛さずにいられない馬鹿もいる悩まないで受けとればいいんだよ愛さずにいられない馬鹿もいる受けとったと答えてほしいだけさI Love You, 答えてくれ　I Love You, 答えてくれI Love You, 答えてくれ　I Love You愛さずにいられない馬鹿もいる悩まないで受けとればいいんだよ愛さずにいられない馬鹿もいる受けとったと答えてほしいだけさI Love You, 答えてくれ　I Love You, 答えてくれI Love You, 答えてくれ　I Love YouI Love You, 答えてくれ　I Love You, 答えてくれI Love You, 答えてくれ　I Love You",：2007/10/0,：YCCW-100
https://www.uta-net.com/song/52220/,蒼い時代,中島みゆき,中島みゆき,中島みゆき,蒼い時代のことやから忘れてやってくださいとあなたの親に謝られても　何のことかわからないわ蒼い時代のただなかで私たちは互いに過去も未来もないことにして固く抱きあったね正しくても間違いでもかまわなかったあなたといることだけしか思わなかった蒼い時代のことやから忘れてやってくださいとあなたの親が頭を下げる私は陽だまりを見るあんな昔の約束をあなたが覚えていたなんて驚きました　私はとうに今の暮らしに変わっていますあなたと同じ目元がうるんだように安らぐガラスの中に私は見てる遠い陽だまりの日々正しくても間違いでもかまわなかったあなたといることだけしか思わなかった蒼い時代のことなんか幻でした約束は信じてなんかいませんでしたこれで良かったのよね,,
https://www.uta-net.com/song/54633/,紅い河,中島みゆき,中島みゆき,中島みゆき,どこへゆく　どこへゆく　紅い河ただ流れゆく流れゆく時のままに浮かべた舟は　どこへ運ばれるこの心だけ　岸に置き去りにどこへゆく　どこへゆく　紅い河ただ流れゆく流れゆく時のままに浮かべた舟は　どこへ運ばれるこの心だけ　岸に置き去りに私のあの人は　もう私を忘れたの遠い彼方　もう私を忘れたの河に映るのは空の色あの人の心は見えない流れゆけ　流れゆけ　あの人までさかのぼれ　さかのぼれ　あの人までどこへゆく　どこへゆく　紅い河ただ流れゆく流れゆく時のままに浮かべた舟は　どこへ運ばれるこの心だけ　岸に置き去りに私のあの人は　もう私を忘れたの遠い彼方　もう私を忘れたの河に映るのは空の色あの人の心は見えない流れゆけ　流れゆけ　あの人までさかのぼれ　さかのぼれ　あの人まで,：2001/11/2,：YCCW-000
https://www.uta-net.com/song/215/,悪女,中島みゆき,中島みゆき,中島みゆき,マリコの部屋へ 電話をかけて男と遊んでる芝居 続けてきたけれどあのこもわりと 忙しいようでそうそうつきあわせてもいられない土曜でなけりゃ 映画も早いホテルのロビーも いつまで居られるわけもない帰れるあての あなたの部屋も受話器をはずしたままね 話し中悪女になるなら 月夜はおよしよ素直になりすぎる隠しておいた言葉がほろりこぼれてしまう 「行かないで」悪女になるなら裸足で夜明けの電車で泣いてから涙 ぽろぽろ ぽろぽろ流れて 涸れてから女のつけぬ コロンを買って深夜のサ店の鏡で うなじにつけたなら夜明けを待って 一番電車凍えて帰れば わざと捨てゼリフ涙も捨てて 情も捨ててあなたが早く私に 愛想を尽かすまであなたの隠す あの娘のもとへあなたを早く 渡してしまうまで悪女になるなら 月夜はおよしよ素直になりすぎる隠しておいた言葉がほろりこぼれてしまう 「行かないで」悪女になるなら裸足で夜明けの電車で泣いてから涙 ぽろぽろ ぽろぽろ流れて 涸れてから,：1990/05/2,：PCCA-000
https://www.uta-net.com/song/222/,浅い眠り,中島みゆき,中島みゆき,中島みゆき,忘れないと誓ったあの日の夏は遠く寄せて返す波にもあの日の風はいないああ二人で点したあの部屋のキャンドルは光あふれる時代の中でどこへはかなく消えていったのか恋しさを聞かせてよ惜しみなく聞かせてよ他人じゃないなら　なおさら　なおさら浅い眠りにさすらいながら街はほんとは愛を呼んでいる浅い眠りにさすらいながら街はほんとは愛を呼んでいる風の中にふるえて瞬(またた)く星のようにあやまちかもしれないと哀しく迷っていたああ二人気づかない　失ってみるまでは誰が一番ほしい人なのか何が一番つらいことなのか恋しさはこわれものせつなさはこわれもの他人じゃないなら　なおさら　なおさら浅い眠りにさすらいながら街はほんとは愛を呼んでいる浅い眠りにさすらいながら街はほんとは愛を呼んでいる浅い眠りにさすらいながら街はほんとは愛を呼んでいる,,
https://www.uta-net.com/song/53888/,朝焼け,中島みゆき,中島みゆき,中島みゆき,繰り返す　波の音の中眠れない夜は独り　うらみ言　独りうらみ言並べる眠れない夜が明ける頃心もすさんでもうあの人など　ふしあわせになれと思う昔読んだ本の中に　こんな日を見かけたああ　あの人は　いま頃は例の　ひとと　二人曇りガラス　外は寒い独り　あるくには海を見にゆけば　たどりつく前に凍りそうかもめたちが　目を覚ます霧の中　もうすぐああ　あの人は　いま頃は例の　ひとと　二人かもめたちが　目を覚ます霧の中　もうすぐああ　あの人は　いま頃は例の　ひとと二人,,
https://www.uta-net.com/song/231/,アザミ嬢のララバイ,中島みゆき,中島みゆき,中島みゆき,ララバイ　ひとりで眠れない夜はララバイ　あたしをたずねておいてララバイ　ひとりで泣いてちゃみじめよララバイ　今夜はどこからかけてるの春は菜の花　秋には桔梗そしてあたしは　いつも夜咲く　アザミララバイ　ひとりで泣いてちゃみじめよララバイ　今夜はどこからかけてるのララバイ　なんにも考えちゃいけないララバイ　心におおいをかけてララバイ　おやすみ涙をふいてララバイ　おやすみ何もかも忘れて春は菜の花　秋には桔梗そしてあたしは　いつも夜咲く　アザミララバイ　おやすみ涙をふいてララバイ　おやすみ何もかも忘れて春は菜の花　秋には桔梗そしてあたしは　いつも夜咲く　アザミララバイ　ひとりで眠れない夜はララバイ　あたしをたずねておいでララバイ　ひとりで泣いてちゃみじめよララバイ　今夜はどこからかけてるのララバイ　ララバイ　ララバイ　ラララララバイ　ララバイ　ララバイ　ララララララバイ　ララバイ　ララバイ　ラララ,：1994/04/2,：PCCA-557
