"表章項目","都道府県","/時間軸(年次)","2021年","2020年","2019年","2018年","2017年","2016年","2015年","2014年","2013年","2010年","2005年","2000年","1995年","1990年","1985年","1980年","1975年","1970年","1965年","1960年","1955年","1950年","1947年","1935年"
"出生数【人】","大阪府","","59,780","61,878","62,557","65,446","66,605","68,817","70,596","69,968","72,054","75,080","76,111","88,163","86,076","86,840","100,328","111,956","150,653","169,880","147,249","95,012","73,374","93,889","103,782","105,202"
"出生数【人】","兵庫県","","35,581","36,953","38,043","39,713","41,606","43,379","44,016","44,352","45,673","47,834","47,273","54,455","51,947","53,916","61,332","68,677","86,839","91,169","82,500","64,642","62,404","81,866","97,371","82,133"
"出生数【人】","奈良県","","7,751","7,831","8,323","8,947","8,965","9,430","9,832","9,625","10,190","10,694","11,184","13,270","13,337","13,315","14,659","15,949","17,983","17,516","14,571","11,994","13,079","18,594","23,989","18,026"
"出生数【人】","和歌山県","","5,514","5,732","5,869","6,070","6,465","6,659","7,030","7,140","7,122","7,587","7,835","9,566","9,879","10,126","12,086","13,444","16,340","17,974","18,054","15,905","17,434","23,739","30,803","24,490"
"出生数【人】","鳥取県","","3,708","3,783","3,988","4,190","4,310","4,436","4,624","4,527","4,759","4,790","5,012","5,645","5,723","6,412","7,508","8,196","8,755","7,998","8,560","9,575","11,901","16,108","19,348","14,625"
"出生数【人】","島根県","","4,415","4,473","4,594","4,887","5,109","5,300","5,551","5,359","5,534","5,756","5,697","6,522","6,764","7,510","9,051","9,959","10,939","10,539","11,796","14,113","17,162","25,857","32,534","24,019"
"出生数【人】","岡山県","","13,107","13,521","13,695","14,485","14,910","15,477","15,599","15,837","16,210","16,759","16,688","19,059","18,622","19,117","22,698","24,463","30,102","28,717","25,451","25,315","28,475","40,364","53,528","38,499"
"出生数【人】","広島県","","18,636","19,606","20,034","21,363","22,150","22,736","23,679","23,776","24,713","25,546","24,740","27,384","27,609","28,857","33,501","37,360","46,843","44,532","38,967","34,453","37,643","52,802","67,757","53,426"
"出生数【人】","山口県","","7,978","8,203","8,771","8,987","9,455","9,844","10,360","10,197","10,705","11,551","11,514","13,121","13,240","13,729","17,674","19,798","23,956","24,584","24,537","24,981","28,756","42,761","49,246","34,241"
"出生数【人】","徳島県","","4,337","4,521","4,554","4,998","5,182","5,346","5,586","5,502","5,666","5,904","5,913","7,224","7,472","7,943","9,708","10,544","12,020","11,852","12,622","13,317","18,042","25,469","31,646","24,382"
"出生数【人】","香川県","","6,223","6,179","6,631","6,899","7,387","7,510","7,719","7,745","8,059","8,397","8,686","9,808","9,301","9,555","11,529","12,993","15,539","14,522","13,721","13,540","16,641","24,633","34,284","24,502"
"出生数【人】","愛媛県","","8,011","8,102","8,446","9,330","9,569","9,911","10,146","10,399","10,696","11,427","11,528","13,207","13,849","14,612","17,644","19,721","23,315","22,877","24,424","25,039","30,584","45,549","52,775","38,367"
"出生数【人】","高知県","","4,090","4,082","4,270","4,559","4,837","4,779","5,052","5,015","5,266","5,518","5,916","6,811","6,939","7,182","9,350","9,378","11,773","11,842","12,028","12,663","16,029","23,037","28,656","20,867"
"出生数【人】","福岡県","","37,540","38,966","39,754","42,008","43,440","44,036","45,236","45,203","45,898","46,818","43,421","47,290","46,849","48,164","58,837","64,404","71,059","69,632","68,854","67,318","76,427","109,156","108,237","83,422"
"出生数【人】","佐賀県","","5,853","6,004","6,231","6,535","6,743","6,811","7,064","7,159","7,276","7,640","7,508","8,745","8,729","9,555","11,705","12,466","13,085","13,187","14,443","17,294","22,267","29,996","31,958","23,041"
"出生数【人】","長崎県","","8,862","9,182","9,585","10,135","10,558","10,886","11,020","11,323","11,566","12,004","12,148","14,098","14,780","16,517","20,365","22,232","25,639","26,720","30,188","36,508","43,131","54,602","53,021","41,373"
"出生数【人】","熊本県","","12,670","13,011","13,305","14,301","14,657","14,896","15,577","15,558","15,954","16,246","15,645","17,262","17,895","18,992","23,183","24,446","25,596","25,112","28,920","33,005","42,164","55,372","61,213","43,424"
"出生数【人】","大分県","","7,327","7,582","7,624","8,200","8,658","9,059","9,113","9,280","9,605","10,072","9,780","10,910","11,125","11,631","14,420","16,296","18,336","17,579","18,534","20,127","26,429","36,701","42,330","32,262"
"出生数【人】","宮崎県","","7,590","7,720","8,043","8,434","8,797","8,929","9,226","9,509","9,854","10,217","9,738","11,037","11,693","12,107","15,262","16,991","18,123","16,986","18,438","21,920","26,740","35,330","38,641","28,450"
